cluster_id,cluster_type,record_count,canonical_email_id,datasets_involved,member_email_ids,evidence
exact_cluster_5d777e7afe57b442,exact_normalized_full,3,email_eaa159bcdc8628b025934a06ee95714a,enron,email_857f43b0ac10d4f07a0d658c5f5e0654|email_d23f8ddacc5e5f664ae4afa0b12e878c|email_eaa159bcdc8628b025934a06ee95714a,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fabe5ebd7e25d032,exact_normalized_full,3,email_1a796c9416667e99a99a7e312c1d9062,enron,email_1a796c9416667e99a99a7e312c1d9062|email_69709986b67c33171d9690c2043a7655|email_d3d642a1c1c4a1a2a1e585dffff1ce00,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_595e5e6ff5c1d207,exact_normalized_full,3,email_b2b2ed8702f03c1ba06ba27998863545,enron,email_2860890f01b8719f8a158c5198c4ea30|email_b2b2ed8702f03c1ba06ba27998863545|email_ff0db008fdb7ec8404b3b8e4ded16562,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_0079b9d456161856,exact_normalized_full,3,email_a3efa27d32ee3f2a04d98132a8f69331,enron,email_2aefaa72d6270a6af17199e296536e22|email_a3efa27d32ee3f2a04d98132a8f69331|email_c85d7a01488e1ef92fa0154d1277787f,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_b5794c65d6ceb5f6,exact_normalized_full,3,email_1ad37251c874ef611a568c00beb0daca,enron,email_02a196bc86975756b35a89e842a4e1b5|email_1ad37251c874ef611a568c00beb0daca|email_c29e72eac1a6676e836c764e422300a8,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_577f75f64cfa5feb,exact_normalized_full,3,email_51037fae5459222413853625e5e5d577,enron,email_51037fae5459222413853625e5e5d577|email_a1d4e45d2d59d1890071ed5ed0ac1d92|email_f235e5775db0633ebc438e548f3ae463,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fc0bd63c2b7a7dbe,exact_normalized_full,3,email_216973f7a22b432a1136927cf414b9e9,enron,email_1ecd32dd174950be7f20cd78077cc517|email_216973f7a22b432a1136927cf414b9e9|email_551d7a5578e4d77e449037882948a9c2,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_be4ab4c0bd80175c,exact_normalized_full,3,email_91a374b26f34ca6f29b9078b728a851d,enron,email_2540dad4a8392df3165f26b64c5e6cbd|email_7d6d7fffde690d330c7a8328425279e9|email_91a374b26f34ca6f29b9078b728a851d,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fff0884c199ebc7f,exact_normalized_full,3,email_f7d56fa43f05b85cbf59e999f0270f05,enron,email_93631246b4359312fd57f577070c11ac|email_e114f5c4f5c4eebe7ce1c477fdb39786|email_f7d56fa43f05b85cbf59e999f0270f05,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_8ba254222946d1d2,exact_normalized_full,3,email_6e122f90e8ce4cba093980bde0173086,enron,email_23dd7e376868d8d6c958ac4c58fdba4c|email_6e122f90e8ce4cba093980bde0173086|email_71c0a11a017cba2b82444377f1015441,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_ce024c6a4b3f8e39,exact_normalized_full,3,email_cedbe9ae27ed9725e92a749fe25587a4,enron,email_343c1a85176f014ec7904f22a339d0e7|email_79650fcfab11ce87b8ed5b5e4356c1f1|email_cedbe9ae27ed9725e92a749fe25587a4,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_bd00e0669c899761,exact_normalized_full,2,email_1f1ec44ad4df146e95100d537c597e1d,enron,email_1f1ec44ad4df146e95100d537c597e1d|email_61a742bc28c3c9ca4e15ef559adfbe30,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_b31a11afaf7e4a0d,exact_normalized_full,3,email_362beb477f7cc61cfcf5dec5a56d0892,enron,email_362beb477f7cc61cfcf5dec5a56d0892|email_520b23e964a83aee2dc07f92ac916607|email_a98b1c0c24e56fabd514fec4fba4bf4e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_503e957974de5d8a,exact_normalized_full,3,email_588f1937217be02c72fc9783332672e2,enron,email_588f1937217be02c72fc9783332672e2|email_74a9f0e2a23ffe4d08519183d0f31024|email_d6b78f17538d715d7146b6072a038fa7,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_3e82da11c8022e3d,exact_normalized_full,3,email_29d4a4e40ce9a799bbba61c5b1267bf9,enron,email_06822fa721b80df0584c0f47af829b50|email_29d4a4e40ce9a799bbba61c5b1267bf9|email_3152086511735f43dcc6a6026e04e0b2,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_0f98841c7105bb30,exact_normalized_full,3,email_19f19e6aa2eab1b9c7b952fb912e93a6,enron,email_19f19e6aa2eab1b9c7b952fb912e93a6|email_69af05f84b3fe58a570d864bf08c9fb7|email_7e60c5dd29ad65e215c6a96eea5b7fb6,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_99596c5bb2288559,exact_normalized_full,3,email_3eabff6f2eb40bce7e24e905a7183010,enron,email_3eabff6f2eb40bce7e24e905a7183010|email_7f4d72094fe73b7fd10b8dae910b4fc6|email_aaec2f5a367a393b561cfd65aa23d037,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_c3b805ecb46e2ca3,exact_normalized_full,3,email_8d8faf32509399a7ccf77fa66d4f4818,enron,email_0b45be8c518421c52b0618d482abfb20|email_8d8faf32509399a7ccf77fa66d4f4818|email_cc78a784b62983f8d5f3b61af5fb2e7e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_d8aa718b6bb600e9,exact_normalized_full,3,email_170e10648e62e93978551a61be4925c2,enron,email_170e10648e62e93978551a61be4925c2|email_2f0b0dacfdf2f90b344fe30d7ea8eb9d|email_68f004f2b7a039eae8fdba2125d3dbf3,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_d819246c92626667,exact_normalized_full,3,email_f753ba9ce5bd65927512313a93900c90,enron,email_152993efc982628fcae1563b19a4208f|email_b12179b4178863244652b0ed08fa2b47|email_f753ba9ce5bd65927512313a93900c90,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_4b2cc5f02751b6f9,exact_normalized_full,3,email_cb71afb42e9a229522ce76a91bb08580,enron,email_34b89237f0a5eb296c13b99803c228fa|email_cb71afb42e9a229522ce76a91bb08580|email_ef1e1add4759638866ec5ceff322237d,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_6d4f3d80e6f8c804,exact_normalized_full,3,email_d819fe75465cbd24ee6300e492e6936f,enron,email_91a9e2c7a12ce50c4c834fd4a3f08fb0|email_d819fe75465cbd24ee6300e492e6936f|email_f8bee9d9da5e92fa5e6a5458ec23433c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_38b109572f9a13a6,exact_normalized_full,3,email_ad3a7bd01d2c9ae277e37b22b87037f6,enron,email_3a3c936766f571c3fefa6e09b5db4ea3|email_ad3a7bd01d2c9ae277e37b22b87037f6|email_f7da9dbc38182985a2d10c07660935cc,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_23797debbe809fb7,exact_normalized_full,3,email_ef4d83fe6d20b2de9d10bb5170274368,enron,email_4c5c0f71f42d3fa81072248f88e58201|email_e4e3e82234c51eb4e9913fb6af660e55|email_ef4d83fe6d20b2de9d10bb5170274368,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_44cfa9fe310e72e0,exact_normalized_full,3,email_5329ca1e41947e1c5bb8399abe8bfcb7,enron,email_0f53dba89b286b5937042da056336778|email_5329ca1e41947e1c5bb8399abe8bfcb7|email_de5056738989f2d91d3f5736d919d03c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_b2f297f664c09110,exact_normalized_full,3,email_5c3b099e33ec427588e822f6737b1c73,enron,email_12c222e98aa7e527a2e3147ad7c27fc1|email_5c3b099e33ec427588e822f6737b1c73|email_af3d6801b312871b6a6b81066ca75c85,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_680347d9d605983e,exact_normalized_full,3,email_f7e5926fe847e09597eaa4b2b893f848,enron,email_84aa338162e6709ba07246d230f48fe7|email_8c971e3b7c32d2dce82929eefb313e02|email_f7e5926fe847e09597eaa4b2b893f848,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_62ce2659c276f006,exact_normalized_full,2,email_081d975651ba2d64272d2cf83001bd82,enron,email_081d975651ba2d64272d2cf83001bd82|email_38b6e080b8c18e954fb8cddcfb85266c,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_f0f6be1bfd41b1e6,exact_normalized_full,3,email_aea230a75e5ff1350a96f5391d7d564f,enron,email_7bf39d286887cadbf9e96f48040e7e13|email_aea230a75e5ff1350a96f5391d7d564f|email_ce320f3ee647ae9f8b38e10d513cf6a5,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_82a0842caf04966b,exact_normalized_full,3,email_32179aeb65df058053f2a7082692bbfb,enron,email_0a2ee2cd3f6c23ceeda8c5595b0c4e46|email_32179aeb65df058053f2a7082692bbfb|email_f512d9d296c28de20f76fe3ed40eeafc,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_2bae5643a2fce7c6,exact_normalized_full,2,email_4e2c9bfd930e8c8ebbbc83fe224d60c7,enron,email_4e2c9bfd930e8c8ebbbc83fe224d60c7|email_9934cd54657238c4198273fe0655577b,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_efa096dca4e64b11,exact_normalized_full,3,email_c12974d0aa500c5114ba93ca580bb156,enron,email_b41dd9f29aeb21d58d4de142a5407cbe|email_c12974d0aa500c5114ba93ca580bb156|email_d64ca177b96f72c351a59fcb9c694536,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_e9895c72149b4022,exact_normalized_full,2,email_56944984917aff13b59382ad3d148ea9,enron,email_517b338871f9378abb23e9e637c5c0f7|email_56944984917aff13b59382ad3d148ea9,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_fe5b91ffed1acfc2,exact_normalized_full,3,email_8e03a6fad35300e38431e4dd84ccb3bd,enron,email_336b6111aad19ac39d01f3d02fb2ef83|email_8e03a6fad35300e38431e4dd84ccb3bd|email_ca4e526f317695236cb94c333ac9fc0a,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_eb05f3542d4a30c8,exact_normalized_full,3,email_d25017acf034d9006caadd1a71d31d67,enron,email_2daecb00f41cf907fce1f789c5bd130a|email_31cc99d9f81facd8e0d7214edc73f0a5|email_d25017acf034d9006caadd1a71d31d67,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_a28e24bf4e212478,exact_normalized_full,3,email_5379e1e4f8bbdd6099a5aa41dbdb1002,enron,email_312d63ba0fd47e25294a5f4ab6d02adb|email_5379e1e4f8bbdd6099a5aa41dbdb1002|email_5d7e833365b0985b6348822a38e830d8,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_832b86c40eaed121,exact_normalized_full,3,email_535c589b57b75a1d552ea4d6528d0230,enron,email_1edd0af160c96cd3a9f4c397a1146809|email_535c589b57b75a1d552ea4d6528d0230|email_de7cf8eae7dc74e799d66c7fc5d7aae9,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_e46ecdf7517d04f2,exact_normalized_full,3,email_6a6b7589c2524de271040760d7b79916,enron,email_64f909e18118fbc35f1e24545767a596|email_6a6b7589c2524de271040760d7b79916|email_7ae61974a31d6deb2d56450a1ebeb7d6,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_0129d3837743b235,exact_normalized_full,3,email_790838e8c97ab9e673c46edcc8cfa2aa,enron,email_6ae6cb25c989b53877ee36c83d1d4e00|email_790838e8c97ab9e673c46edcc8cfa2aa|email_b0db154d39ca86e1f7e5faf8ff0444be,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_d011c7a396721676,exact_normalized_full,3,email_2fccf245cecefd4c04650d7bd5b8e543,enron,email_2fccf245cecefd4c04650d7bd5b8e543|email_645cde6792da60de421f18ec8d195fc6|email_8210254cf9baa6c9700e0e41f2f9b181,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_a38a983ea990b503,exact_normalized_full,2,email_1f6268161860e5e2456820894b260ef4,enron,email_1f6268161860e5e2456820894b260ef4|email_dfb99ff04a578b125a5976adf6d0726e,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_d29600f2a56c42ea,exact_normalized_full,3,email_e6b84d80629b524e1dab1ce35e1fe99e,enron,email_6a2c17205315aaa5b957597feb708f93|email_7ab10a3f146fce3272139141e695b7f1|email_e6b84d80629b524e1dab1ce35e1fe99e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_f145b608e1beb75a,exact_normalized_full,3,email_90dc359229a96ea13a00330105aabc02,enron,email_42d453a775e4234c1362535fe9670b57|email_90dc359229a96ea13a00330105aabc02|email_9371edcd3e0e809034c07c0c109a7270,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_48b7f489cc1da801,exact_normalized_full,3,email_fd6d84a6de8a06f97e021d5fa9e7963e,enron,email_9c4a15fe56642877c65768a60af5078a|email_f1d78c1ca13db942cbb24a52817d74f3|email_fd6d84a6de8a06f97e021d5fa9e7963e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_10adf7a1e994b0bd,exact_normalized_full,3,email_69c8555a241dd05f58df15fa6295211e,enron,email_69c8555a241dd05f58df15fa6295211e|email_aed286f4ede623a5c38eaa278c30259b|email_c5a8585950b760a8f476a5c56f406a4a,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_445a0827e1293d39,exact_normalized_full,3,email_83597b79c39e75b5f319aaf990a6172c,enron,email_6b24536aff2097bdbc0f6e739b6ece66|email_712d552519e9cf7be46945e8eb1747cd|email_83597b79c39e75b5f319aaf990a6172c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_bfae50929f0454f3,exact_normalized_full,3,email_229359c1693905b4e033a800528375f0,enron,email_229359c1693905b4e033a800528375f0|email_b7c4edeb376db45af45ef678d40e1855|email_f418b6347b9b8007e8d31ce0e18fe152,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_28ac04bff9e1888e,exact_normalized_full,3,email_e23c81ce149589f63bc70f05c19f3af5,enron,email_03e8a9112d00707679b0261ccbfc19ea|email_2bd74a9374419c1131a6bb389328c563|email_e23c81ce149589f63bc70f05c19f3af5,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_be5f8ec50afc4d20,exact_normalized_full,3,email_2973f5eeb09489bf8bb7b05d97e5be12,enron,email_2973f5eeb09489bf8bb7b05d97e5be12|email_8615dd4c15445f81ab59d62902512429|email_eb0afefa1700963221e55f79e973dbd0,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_17fe1d88f73bf792,exact_normalized_full,3,email_30cb23ec6b4dacd969bc05c943017125,enron,email_30cb23ec6b4dacd969bc05c943017125|email_8b901aabd805c9887bfec3f72a99b431|email_dd375194e5a2df3ee695e81dd11632cb,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_165dbafcd6f21f74,exact_normalized_full,3,email_98c70f741040f4ce5316f09b4455fe35,enron,email_6369e01feef9b7381df93a5ca3b47804|email_84e775f5daf26ee048982e10c028fa26|email_98c70f741040f4ce5316f09b4455fe35,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_49ffbe59fa699309,exact_normalized_full,3,email_83d948c67bb7c78f8c974396966386c1,enron,email_01e36ff7c504949477f848db95e356df|email_83d948c67bb7c78f8c974396966386c1|email_9375808def6544f3ab9c8589f4cdf191,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_08147fb574773eed,exact_normalized_full,3,email_ad9f739282204be625161ece428d709f,enron,email_074d27e2012628f3b390f782d5de5014|email_2b6779ad1ea4d5299d6d384237bd17d8|email_ad9f739282204be625161ece428d709f,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_29eee16caa225928,exact_normalized_full,3,email_0faefdc700bb814b9214ef191af798c9,enron,email_0faefdc700bb814b9214ef191af798c9|email_63e5452eda399e1908450890d44f1112|email_fdf6279acf4821efbc6692e3dc4b892c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_e13b24e2011e213a,exact_normalized_full,3,email_a49125814d2f36d7257cf5e6f7092f85,enron,email_862ed6c43ca2b477a3e26ac2ed76afa2|email_a49125814d2f36d7257cf5e6f7092f85|email_b1e233fc29030917505978419f047033,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_8ae1164b825953ef,exact_normalized_full,3,email_0ba8ebca7ca6432f9bcd0f90a84c9d94,enron,email_0ba8ebca7ca6432f9bcd0f90a84c9d94|email_95d85038e99c19efb81f881aa5804ca5|email_fceef0e74c525b8aad0d3b677aaaad5a,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_91b23ad242a269e6,exact_normalized_full,3,email_3648af98f9869de371abfb912dc14ee7,enron,email_2acd713fa26e13e7cf90734d06542484|email_3648af98f9869de371abfb912dc14ee7|email_a3e8ebd3616917ad7aa41b9aa2576b83,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_af79bac9893050ff,exact_normalized_full,3,email_6715adf4dd4a5a73fc464b6e882e0a29,enron,email_21463afadbc0896d2578acb4648a4b51|email_6715adf4dd4a5a73fc464b6e882e0a29|email_b7265471c23ac5055ca2e542639c9f36,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_3e7b7b31accb57d1,exact_normalized_full,3,email_85b65922210feeafff2c1e81b50cfe71,enron,email_66627acee4f94b7032e72e78f97b97ef|email_85b65922210feeafff2c1e81b50cfe71|email_b0eff6770f03a7d39f13927960613692,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_3668734e2d891863,exact_normalized_full,3,email_fae5f53415faa0e5d7f8189b43fa7c07,enron,email_59353ba3e5a8ddfd60f6dde09f06c8d5|email_8d2ec20c04daf38c1e7b43566d2340d2|email_fae5f53415faa0e5d7f8189b43fa7c07,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_da00849f1dd732eb,exact_normalized_full,3,email_e06ef3af7f2001d2c54ea3bae8cff5f2,enron,email_1ba28a3a075b05a328e7cf2f59eace3a|email_946d3a91ae137691afea7e4d49aa369a|email_e06ef3af7f2001d2c54ea3bae8cff5f2,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fc89638ef3e2b873,exact_normalized_full,3,email_b0554faf1bd0e8a4fa9b91885689c26a,enron,email_69f899b1ecc4d5c6e3a622d936b5be02|email_854357bdc1c49c69252aef89fcd676c4|email_b0554faf1bd0e8a4fa9b91885689c26a,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_b9722c5d4027232e,exact_normalized_full,3,email_99791db512f40c8a960dfbc266bd7e78,enron,email_0511aef64bd7d688a352fa8faf562f15|email_99791db512f40c8a960dfbc266bd7e78|email_d50a37b775497739ebb3e875b3af8a50,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_368143e6d3d42272,exact_normalized_full,3,email_afd7b35ceba7205fdaf7453f2609c803,enron,email_605ede8c703c30761f5ce370b48b7564|email_6966c1c5256aa2d4a50efdd55bb7feb7|email_afd7b35ceba7205fdaf7453f2609c803,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_6e89415e3473962d,exact_normalized_full,3,email_2bae1e71b59d7bbd4dae6cf46130faaf,enron,email_0d1f47095a03ad83b59047a2d452c764|email_2bae1e71b59d7bbd4dae6cf46130faaf|email_67d39e59576c51be5fc40d20b8430ef2,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_6444b1bc2c97b323,exact_normalized_full,3,email_06495c481ff9194ff8fd15a54eeb86e1,enron,email_06495c481ff9194ff8fd15a54eeb86e1|email_df645cb3051b88f28c79a53dc5ba9e2d|email_edf373514c2e9b108e7ad84df7284e79,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_5d402cdff7cb8757,exact_normalized_full,3,email_f2c24d75e27adddf7601ce8b64ab1796,enron,email_45e9dd9471815e6ea55287ef247351bb|email_aa22c7dc399464bf5e8931cc7e9d1fc6|email_f2c24d75e27adddf7601ce8b64ab1796,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_820cbf209de340ab,exact_normalized_full,3,email_89f8b717a99fbaea291edb8854385e7c,enron,email_7aa47f6eedecfdd7eb5a4445a88b1235|email_89f8b717a99fbaea291edb8854385e7c|email_d578c233f37ddd1a82022140ad7adf8f,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_3b64072c27c1e177,exact_normalized_full,3,email_919ae532d9a652534cc8f93b9cda38bf,enron,email_919ae532d9a652534cc8f93b9cda38bf|email_ab2e3881270c7b9c549b87e7fb1e4d5f|email_ce0d061490beeadec9a65c83b49c19b7,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_47abe30c810876e8,exact_normalized_full,2,email_f4dee40d903156e09ce533ad1f5de364,enron,email_2302b259aef310693af2cef5e0ca4971|email_f4dee40d903156e09ce533ad1f5de364,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_68dc7f383f2a0842,exact_normalized_full,3,email_b7a76da4a8f1c41bba3c606aecde481c,enron,email_2470e5d0521e1e6ec62e07dd81ef3bed|email_5a4ecc7fb51c81a8ba0ff45caac88c70|email_b7a76da4a8f1c41bba3c606aecde481c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_68e2bb4dec7e68c1,exact_normalized_full,3,email_7358d98e9f2b5b6e6d23d464f7dd1c75,enron,email_10d2d9de6ead136151bbef884441bbfa|email_5e8dead14ffc0d9f887c6e53cebb3337|email_7358d98e9f2b5b6e6d23d464f7dd1c75,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_e56dd8a91a51dc46,exact_normalized_full,3,email_7bf4549c62550121262dd77bda69e768,enron,email_7bf4549c62550121262dd77bda69e768|email_9354913f9fded36e772bec310b3e4af0|email_e5489f029c06abb56d96d7bf8f91a3d9,"raw_hashes=3, full_hashes=1, body_hashes=1"
